time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.8529,0.5778,0.1079,0.2649,0.3939,0.11,0.2909,0.0352,30,30,1.0
1.0,1,0.8559,0.2906,0.2906,0.2906,0.2906,0.2906,0.2906,0.0324,30,30,1.0
2.0,2,0.8391,0.2893,0.2893,0.2893,0.2893,0.2893,0.2893,0.0314,30,30,1.0
3.0,3,0.8376,0.2797,0.2797,0.2797,0.2797,0.2797,0.2797,0.032,30,30,1.0
4.0,4,0.8444,0.2948,0.2948,0.2948,0.2948,0.2948,0.2948,0.0331,30,30,1.0
5.0,5,0.8051,0.2943,0.2943,0.2943,0.2943,0.2943,0.2943,0.031,30,30,1.0
6.0,6,0.8218,0.2865,0.2865,0.2865,0.2865,0.2865,0.2865,0.0314,30,30,1.0
7.0,7,0.8354,0.2907,0.2907,0.2907,0.2907,0.2907,0.2907,0.0311,30,30,1.0
8.0,8,0.842,0.3028,0.3028,0.3028,0.3028,0.3028,0.3028,0.0301,30,30,1.0
9.0,9,0.853,0.2567,0.2567,0.2567,0.2567,0.2567,0.2567,0.0314,30,30,1.0
10.0,10,0.8454,0.2444,0.2444,0.2444,0.2444,0.2444,0.2444,0.0303,30,30,1.0
11.0,11,0.8448,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414,0.031,30,30,1.0
12.0,12,0.8337,0.2458,0.2458,0.2458,0.2458,0.2458,0.2458,0.0309,30,30,1.0
13.0,13,0.8052,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.0323,30,30,1.0
14.0,14,0.799,0.3354,0.3354,0.3354,0.3354,0.3354,0.3354,0.0316,30,30,1.0
15.0,15,0.8231,0.3499,0.3499,0.3499,0.3499,0.3499,0.3499,0.0311,30,30,1.0
16.0,16,0.8187,0.3462,0.3462,0.3462,0.3462,0.3462,0.3462,0.0307,30,30,1.0
17.0,17,0.8228,0.3576,0.3576,0.3576,0.3576,0.3576,0.3576,0.0313,30,30,1.0
18.0,18,0.8081,0.3307,0.3307,0.3307,0.3307,0.3307,0.3307,0.0301,30,30,1.0
19.0,19,0.8406,0.2738,0.2738,0.2738,0.2738,0.2738,0.2738,0.0311,30,30,1.0
20.0,20,0.8477,0.2537,0.2537,0.2537,0.2537,0.2537,0.2537,0.0317,30,30,1.0
21.0,21,0.8396,0.2452,0.2452,0.2452,0.2452,0.2452,0.2452,0.031,30,30,1.0
22.0,22,0.8458,0.2555,0.2555,0.2555,0.2555,0.2555,0.2555,0.0322,30,30,1.0
23.0,23,0.8436,0.2775,0.2775,0.2775,0.2775,0.2775,0.2775,0.0312,30,30,1.0
24.0,24,0.8552,0.3366,0.3366,0.3366,0.3366,0.3366,0.3366,0.031,30,30,1.0
25.0,25,0.8585,0.3636,0.3636,0.3636,0.3636,0.3636,0.3636,0.0322,30,30,1.0
26.0,26,0.8579,0.3504,0.3504,0.3504,0.3504,0.3504,0.3504,0.0312,30,30,1.0
27.0,27,0.8677,0.3163,0.3163,0.3163,0.3163,0.3163,0.3163,0.0326,30,30,1.0
28.0,28,0.8481,0.2643,0.2643,0.2643,0.2643,0.2643,0.2643,0.0317,30,30,1.0
29.0,29,0.8559,0.2425,0.2425,0.2425,0.2425,0.2425,0.2425,0.0309,30,30,1.0
30.0,30,0.8659,0.2245,0.2245,0.2245,0.2245,0.2245,0.2245,0.0317,30,30,1.0
31.0,31,0.87,0.2154,0.2154,0.2154,0.2154,0.2154,0.2154,0.0314,30,30,1.0
32.0,32,0.8676,0.1941,0.1941,0.1941,0.1941,0.1941,0.1941,0.0311,30,30,1.0
33.0,33,0.8534,0.2267,0.2267,0.2267,0.2267,0.2267,0.2267,0.0315,30,30,1.0
34.0,34,0.8364,0.2704,0.2704,0.2704,0.2704,0.2704,0.2704,0.0334,30,30,1.0
35.0,35,0.8497,0.3578,0.3578,0.3578,0.3578,0.3578,0.3578,0.0333,30,30,1.0
36.0,36,0.8194,0.3641,0.3641,0.3641,0.3641,0.3641,0.3641,0.0328,30,30,1.0
