time_s,interval,c_yolo,d_blur,d_noise,d_contrast,d_illumination,d_temporal,d_video,latency_s,n_correct,n_expected,R_exp
0.0,0,0.0,0.8917,0.0237,0.1218,0.3107,0.2211,0.3138,0.0374,0,30,0.0
1.0,1,0.0,0.3063,0.3063,0.3063,0.3063,0.3063,0.3063,0.0333,0,30,0.0
2.0,2,0.0,0.3044,0.3044,0.3044,0.3044,0.3044,0.3044,0.0322,0,30,0.0
3.0,3,0.3136,0.256,0.256,0.256,0.256,0.256,0.256,0.0317,3,30,0.1
4.0,4,0.2665,0.2467,0.2467,0.2467,0.2467,0.2467,0.2467,0.0355,1,30,0.0333
5.0,5,0.3672,0.2418,0.2418,0.2418,0.2418,0.2418,0.2418,0.0359,23,30,0.7667
6.0,6,0.4509,0.2579,0.2579,0.2579,0.2579,0.2579,0.2579,0.0331,29,30,0.9667
7.0,7,0.816,0.2502,0.2502,0.2502,0.2502,0.2502,0.2502,0.0364,30,30,1.0
8.0,8,0.7901,0.2609,0.2609,0.2609,0.2609,0.2609,0.2609,0.0363,29,30,0.9667
9.0,9,0.8185,0.2442,0.2442,0.2442,0.2442,0.2442,0.2442,0.0356,30,30,1.0
10.0,10,0.7909,0.2433,0.2433,0.2433,0.2433,0.2433,0.2433,0.0345,30,30,1.0
11.0,11,0.7716,0.2424,0.2424,0.2424,0.2424,0.2424,0.2424,0.0328,30,30,1.0
12.0,12,0.8882,0.2448,0.2448,0.2448,0.2448,0.2448,0.2448,0.0322,30,30,1.0
13.0,13,0.4501,0.2764,0.2764,0.2764,0.2764,0.2764,0.2764,0.0315,6,30,0.2
14.0,14,0.5839,0.2955,0.2955,0.2955,0.2955,0.2955,0.2955,0.0319,5,30,0.1667
15.0,15,0.7418,0.2701,0.2701,0.2701,0.2701,0.2701,0.2701,0.0322,29,30,0.9667
16.0,16,0.8236,0.2781,0.2781,0.2781,0.2781,0.2781,0.2781,0.0327,17,30,0.5667
17.0,17,0.0,0.2669,0.2669,0.2669,0.2669,0.2669,0.2669,0.0329,0,30,0.0
18.0,18,0.0,0.255,0.255,0.255,0.255,0.255,0.255,0.0352,0,30,0.0
