window_id,video_id,tipo,start_frame,end_frame,start_time_s,end_time_s,frames,D_video_mean,D_video_max,R_det_exp,R_det_conf,max_confidence_mean,blur_mean,noise_mean,temporal_instability_mean,contrast_mean,brightness_mean,latency_mean_ms,latency_p95_ms,R_latency,R_system_proxy
0,video_digital_4,digital,10,28,0.33366700033366703,0.9342676009342676,19,0.17628904784640442,0.19671896808451222,0.0,0.0,0.0,184.71424951116848,3.369830482884457,3.4862351516812864,50.74489172913698,104.94608895285087,48.68959999447198,60.02767996396868,1.0,0.0
1,video_digital_4,digital,29,57,0.9676343009676344,1.901901901901902,29,0.18188668463619193,0.22975496121231653,0.0,0.0,0.0,186.33560366834084,3.375631546152049,2.2052458991858237,48.8339859901041,104.72558324353449,41.40339999917317,51.84895998099819,1.0,0.0
2,video_digital_4,digital,58,86,1.9352686019352687,2.8695362028695364,29,0.1745516814537493,0.18073300081894994,0.0,0.0,0.0,211.30567695795924,3.6428634051618904,2.640685015565134,48.65922653010178,104.65029079861111,37.63750000808645,41.368260025046766,1.0,0.0
3,video_digital_4,digital,87,115,2.902902902902903,3.8371705038371706,29,0.1881074378553477,0.19291800925073613,0.0,0.0,0.0,236.46086578642488,3.8300413756534972,4.259186123084292,45.5760260801945,103.9871173072318,37.94491379762646,43.445079983212054,1.0,0.0
4,video_digital_4,digital,116,144,3.8705372038705375,4.804804804804805,29,0.19168245989353797,0.21298216932930594,0.0,0.0,0.0,392.79986371345376,4.909515331531393,7.179588571599616,47.7375725129418,106.47028915229885,37.04285862100921,41.81225998327136,1.0,0.0
5,video_digital_4,digital,145,173,4.838171504838171,5.772439105772439,29,0.16916360360227187,0.18619453100872907,0.0,0.0,0.0,353.2152477023024,4.761537091485385,7.205830938697318,54.377481336157615,108.68910455579501,38.0106068974971,46.146379993297145,1.0,0.0
6,video_digital_4,digital,174,202,5.805805805805806,6.740073406740073,29,0.1581908331669688,0.16852393496177387,0.0,0.0,0.0,289.15221343944444,4.388714362835062,5.122184506704981,56.48321687372127,107.46855663314177,39.80703448378963,45.53451999090612,1.0,0.0
7,video_digital_4,digital,203,231,6.773440106773441,7.707707707707708,29,0.1709203565533464,0.1770310249882358,0.034482758620689655,0.014311468806760064,0.014311468806760064,271.15043464722356,4.1704043437694684,5.947516463122605,55.213192417830236,99.81108955938697,37.79341033981021,42.89353999774903,1.0,0.011891714591683348
8,video_digital_4,digital,232,260,7.741074407741075,8.675342008675342,29,0.17428747071389808,0.18122132576735006,0.0,0.0,0.0,308.54910543375155,4.320990389791028,6.463167504789272,55.42212272949926,98.11678011254789,36.893293094933675,41.04775998275727,1.0,0.0
9,video_digital_4,digital,261,289,8.70870870870871,9.642976309642977,29,0.1645752855100014,0.16885538153561566,0.0,0.0,0.0,331.83065173818915,4.441868930027403,4.631920498084291,57.635766773327596,98.76257333572796,37.0818034460736,44.12346001481636,1.0,0.0
10,video_digital_4,digital,290,318,9.676343009676343,10.61061061061061,29,0.16207716002228842,0.177619660478637,0.06896551724137931,0.026700485369254803,0.026700485369254803,420.1298002141667,4.9483854030740675,3.9028288134578544,59.407935840212836,98.29041097940613,35.454103450194516,39.51344001106918,1.0,0.022276856376901806
11,video_digital_4,digital,319,347,10.643977310643978,11.578244911578246,29,0.1630426515807292,0.17175845920122687,0.0,0.0,0.0,327.0345262410306,4.374474632328954,7.44568591355364,60.77870831006207,96.5349917684387,36.11464827755017,39.33143998729065,1.0,0.0
12,video_digital_4,digital,348,360,11.611611611611613,12.012012012012013,13,0.17336343156737283,0.17941994198708547,0.0,0.0,0.0,289.919475319,4.152723202338586,11.73028078258547,58.97224484891073,97.72143596420939,35.43723846982735,38.70815999107435,1.0,0.0
